Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,6180.0,6180.0,6108.45,6140.5,6106.48,374933,train
2024-07-02,6134.75,6163.75,6077.0,6097.6,6063.82,436037,train
2024-07-03,6132.25,6217.75,6079.05,6192.7,6158.39,188203,train
2024-07-04,6200.95,6244.0,6161.0,6225.05,6190.56,222050,train
2024-07-05,6201.0,6342.85,6159.0,6328.55,6293.49,350300,train
2024-07-08,6380.0,6387.95,6292.8,6317.45,6282.45,317731,train
2024-07-09,6309.3,6350.4,6255.9,6320.3,6285.29,176239,train
2024-07-10,6320.3,6417.0,6301.15,6375.7,6340.38,295890,train
2024-07-11,6395.9,6411.65,6340.0,6389.05,6353.66,354777,train
2024-07-12,6385.2,6419.95,6320.0,6353.9,6318.7,211028,train
2024-07-15,6340.5,6466.7,6340.5,6437.25,6401.59,359221,train
2024-07-16,6437.25,6464.0,6403.0,6453.7,6417.95,298376,train
2024-07-18,6432.0,6539.7,6430.0,6520.85,6484.73,583444,train
2024-07-19,6525.25,6525.25,6365.0,6381.95,6346.6,228785,train
2024-07-22,6381.95,6434.0,6370.15,6402.15,6366.68,222285,train
2024-07-23,6404.0,6474.4,6324.8,6403.6,6368.13,284679,train
2024-07-24,6400.0,6443.95,6350.05,6422.6,6387.02,309594,train
2024-07-25,6404.8,6434.15,6372.0,6385.8,6350.42,412373,train
2024-07-26,6433.0,6679.95,6393.55,6664.55,6627.63,432671,train
2024-07-29,6777.0,6777.0,6616.4,6681.65,6644.63,367708,train
2024-07-30,6681.65,6713.15,6584.1,6641.0,6604.21,264929,train
2024-07-31,6664.25,6686.75,6584.15,6615.3,6578.65,352268,train
2024-08-01,6615.3,6735.0,6606.6,6706.4,6669.25,361725,train
2024-08-02,6706.4,6795.85,6681.0,6710.15,6672.98,587569,train
2024-08-05,6689.0,6756.5,6600.05,6687.6,6650.55,907845,train
2024-08-06,6689.15,6735.0,6631.05,6657.7,6620.82,334936,train
2024-08-07,6701.2,6768.0,6662.0,6720.35,6683.12,358284,train
2024-08-08,6740.0,6744.35,6500.0,6541.9,6505.66,509454,train
2024-08-09,6582.25,6598.0,6530.0,6587.85,6551.35,115598,train
2024-08-12,6550.0,6591.9,6420.95,6502.4,6466.38,230114,train
2024-08-13,6510.3,6642.0,6510.3,6589.4,6552.9,400126,train
2024-08-14,6600.0,6865.0,6460.25,6515.85,6479.75,1723346,train
2024-08-16,6556.2,6714.8,6556.0,6686.9,6660.08,611092,train
2024-08-19,6750.0,6756.9,6565.05,6724.9,6697.92,398225,train
2024-08-20,6775.0,6788.6,6650.0,6672.9,6646.13,146064,train
2024-08-21,6675.0,6788.5,6627.1,6752.45,6725.36,291296,train
2024-08-22,6760.55,6858.0,6751.0,6830.55,6803.15,344641,train
2024-08-23,6864.0,6927.4,6830.7,6860.7,6833.18,468784,train
2024-08-26,6830.0,6878.0,6608.8,6780.0,6752.8,385016,train
2024-08-27,6780.0,6850.75,6734.0,6781.45,6754.25,297297,train
2024-08-28,6785.9,6848.5,6746.55,6776.45,6749.27,250361,train
2024-08-29,6799.9,6907.35,6760.3,6857.2,6829.69,659960,train
2024-08-30,6865.0,6990.0,6851.0,6927.5,6899.71,499581,train
2024-09-02,6989.0,6999.0,6865.05,6880.05,6852.45,248292,train
2024-09-03,6890.95,6925.8,6834.45,6844.85,6817.39,361990,train
2024-09-04,6838.0,6938.0,6790.05,6930.9,6903.1,389768,train
2024-09-05,6930.9,7044.0,6900.2,6934.3,6906.48,387284,train
2024-09-06,6934.3,6962.45,6857.9,6906.8,6879.1,185503,train
2024-09-09,6906.8,6928.0,6820.45,6860.7,6833.18,304409,train
2024-09-10,6900.0,6975.85,6860.7,6921.55,6893.79,354522,train
2024-09-11,6900.0,6953.95,6873.45,6900.25,6872.57,223028,train
2024-09-12,6943.0,7096.45,6915.0,7061.8,7033.47,831152,train
2024-09-13,7096.2,7099.95,7008.05,7019.15,6990.99,238034,train
2024-09-16,7025.0,7062.95,7010.5,7031.35,7003.15,226343,train
2024-09-17,7031.4,7152.45,6999.9,7008.05,6979.94,266003,train
2024-09-18,7029.9,7068.0,6960.75,7035.9,7007.68,251334,train
