Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,4276.35,4281.45,4212.65,4222.15,4215.03,1761756,train
2024-07-02,4234.95,4283.1,4225.5,4249.1,4241.93,1070473,train
2024-07-03,4275.0,4285.4,4245.6,4279.0,4271.78,598290,train
2024-07-04,4279.0,4324.0,4267.05,4288.75,4281.51,669475,train
2024-07-05,4300.0,4345.0,4288.75,4322.9,4315.61,576448,train
2024-07-08,4323.55,4324.8,4228.6,4237.95,4230.8,385991,train
2024-07-09,4240.0,4319.0,4220.45,4305.1,4297.84,433465,train
2024-07-10,4314.0,4314.0,4165.4,4281.25,4274.03,559022,train
2024-07-11,4295.0,4330.0,4280.2,4320.4,4313.11,710193,train
2024-07-12,4335.0,4368.9,4285.0,4331.65,4324.34,1056812,train
2024-07-15,4333.0,4424.9,4320.2,4385.85,4378.45,1596638,train
2024-07-16,4444.0,4452.3,4391.0,4431.1,4423.62,709083,train
2024-07-18,4409.1,4444.0,4365.0,4417.25,4409.8,822843,train
2024-07-19,4401.0,4416.0,4250.2,4281.4,4274.18,727696,train
2024-07-22,4288.8,4355.0,4250.55,4336.55,4329.23,603718,train
2024-07-23,4339.2,4369.9,4171.05,4315.4,4308.12,722279,train
2024-07-24,4315.0,4396.25,4296.25,4375.8,4368.42,648265,train
2024-07-25,4350.0,4467.65,4335.2,4432.2,4424.72,1133699,train
2024-07-26,4442.6,4510.0,4415.5,4493.4,4485.82,1008958,train
2024-07-29,4478.0,4479.0,4273.2,4439.3,4431.81,1950730,train
2024-07-30,4487.0,4527.85,4430.05,4474.0,4466.45,998970,train
2024-07-31,4473.95,4512.0,4450.55,4472.2,4464.66,778444,train
2024-08-01,4432.0,4468.6,4373.4,4404.3,4396.87,792851,train
2024-08-02,4355.0,4407.8,4301.45,4312.5,4305.22,675767,train
2024-08-05,4280.0,4300.0,4162.95,4220.4,4213.28,903676,train
2024-08-06,4300.55,4337.15,4250.0,4261.45,4254.26,992747,train
2024-08-07,4348.0,4348.0,4278.55,4317.9,4310.62,477082,train
2024-08-08,4318.1,4335.0,4241.0,4256.95,4249.77,374911,train
2024-08-09,4305.0,4318.0,4273.65,4290.2,4282.96,503538,train
2024-08-12,4270.0,4287.5,4225.55,4251.65,4244.48,1736347,train
2024-08-13,4269.7,4319.85,4219.45,4227.4,4220.27,508342,train
2024-08-14,4239.0,4259.0,4197.2,4209.9,4202.8,627078,train
2024-08-16,4240.0,4289.9,4200.0,4277.7,4270.48,727461,train
2024-08-19,4299.8,4324.9,4206.15,4231.95,4224.81,1548752,train
2024-08-20,4254.7,4318.25,4230.0,4302.05,4294.79,798389,train
2024-08-21,4310.0,4352.0,4280.55,4299.85,4292.6,605150,train
2024-08-22,4400.0,4490.0,4376.0,4483.15,4475.59,2341452,train
2024-08-23,4493.0,4722.0,4470.15,4710.45,4702.5,3390956,train
2024-08-26,4718.0,4743.8,4602.2,4720.1,4712.14,1147478,train
2024-08-27,4700.0,4755.95,4661.3,4746.75,4738.74,1051934,train
2024-08-28,4775.0,4943.8,4730.0,4859.85,4851.65,1955254,train
2024-08-29,4731.1,4879.8,4721.2,4759.85,4751.82,6958538,train
2024-08-30,4783.0,4869.0,4777.05,4830.0,4821.85,2120523,train
2024-09-02,4894.7,4908.45,4768.3,4793.05,4784.96,1273990,train
2024-09-03,4796.05,4829.0,4775.05,4813.4,4805.28,1351206,train
2024-09-04,4820.0,4864.9,4780.0,4815.0,4806.88,1569180,train
2024-09-05,4835.0,4855.7,4801.55,4828.55,4820.4,1042127,train
2024-09-06,4877.0,4884.9,4760.0,4783.7,4775.63,971127,train
2024-09-09,4780.0,4825.45,4718.4,4808.5,4800.39,1083107,train
2024-09-10,4815.05,4844.95,4760.3,4831.85,4823.7,636042,train
2024-09-11,4869.95,4923.35,4847.2,4900.4,4892.13,1630528,train
2024-09-12,4958.5,5035.0,4925.0,4994.65,4986.22,1714854,train
2024-09-13,5012.0,5012.0,4929.0,4942.35,4934.01,656466,train
2024-09-16,4980.0,4993.0,4935.2,4947.1,4938.75,455240,train
2024-09-17,4953.0,4969.3,4910.2,4933.75,4925.43,587354,train
2024-09-18,4934.0,4957.85,4887.5,4924.65,4916.34,545644,train
2024-09-19,4935.0,4975.95,4814.45,4873.55,4865.33,930127,train
2024-09-20,4845.0,4916.6,4782.0,4903.65,4895.38,1361564,train
2024-09-23,4934.9,4949.95,4900.0,4930.35,4922.03,490477,train
2024-09-24,4939.9,4945.0,4783.9,4827.1,4818.96,1344873,train
2024-09-25,4810.0,4824.9,4757.6,4782.2,4774.13,766857,train
2024-09-26,4800.0,4876.95,4780.75,4867.55,4859.34,608615,train
2024-09-27,4895.95,4957.0,4870.65,4945.7,4937.36,1102149,train
2024-09-30,4902.0,4960.0,4779.35,4787.45,4779.37,1477169,train
2024-10-01,4824.0,4915.0,4802.0,4905.25,4896.97,806651,train
2024-10-03,4821.0,4865.0,4655.05,4716.85,4708.89,1209060,train
2024-10-04,4651.0,4713.4,4590.05,4609.35,4601.57,1208848,train
2024-10-07,4605.0,4649.0,4455.4,4485.2,4477.63,1121745,train
2024-10-08,4492.05,4627.4,4430.3,4602.95,4595.18,1298237,train
2024-10-09,4658.25,4789.15,4640.0,4708.3,4700.36,1382163,train
2024-10-10,4734.0,4754.25,4656.05,4665.15,4657.28,519523,train
2024-10-11,4660.65,4703.0,4613.8,4693.45,4685.53,418673,train
2024-10-14,4703.0,4705.0,4626.1,4678.95,4671.06,534572,train
2024-10-15,4764.95,4777.7,4701.0,4756.45,4748.43,1774742,train
2024-10-16,4745.15,4788.0,4683.4,4699.85,4691.92,1788208,train
2024-10-17,4707.3,4725.0,4613.45,4624.0,4616.2,420382,train
2024-10-18,4600.0,4697.0,4573.6,4663.05,4655.18,624908,train
2024-10-21,4701.0,4707.15,4570.35,4591.0,4583.25,848568,train
2024-10-22,4595.0,4619.95,4495.0,4524.4,4516.77,589153,train
2024-10-23,4499.5,4568.3,4477.55,4520.0,4512.37,612802,train
2024-10-24,4551.6,4579.6,4494.1,4519.85,4512.23,722355,train
2024-10-25,4546.2,4558.45,4315.0,4366.1,4358.73,1328953,train
2024-10-28,4200.0,4200.0,3780.0,4015.45,4008.68,9138963,train
2024-10-29,4027.7,4060.05,3975.35,4026.75,4019.96,1406204,train
2024-10-30,4005.05,4119.3,3991.05,4057.7,4050.85,1159067,train
2024-10-31,4063.0,4086.95,4010.05,4052.5,4045.66,866950,train
2024-11-01,4050.0,4099.7,4050.0,4069.55,4062.68,79727,train
2024-11-04,4069.55,4075.0,3874.0,3963.1,3956.41,1120004,train
2024-11-05,3970.9,3975.0,3892.0,3940.85,3934.2,1050031,train
2024-11-06,3945.0,4080.0,3920.1,4061.95,4055.1,1106076,train
2024-11-07,4073.0,4090.5,3980.0,3995.75,3989.01,885454,train
