Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,12045.0,12260.0,12005.55,12108.65,11866.91,1134926,train
2024-07-02,12149.95,12149.95,11995.0,12042.6,11802.18,687181,train
2024-07-03,12115.0,12150.0,11960.0,12123.65,11881.61,467532,train
2024-07-04,12135.0,12210.0,12071.8,12089.6,11848.24,299684,train
2024-07-05,12069.15,12137.45,12021.9,12104.05,11862.4,406926,train
2024-07-08,12104.0,12112.0,11966.0,12023.6,11783.56,496933,train
2024-07-09,12325.0,12959.95,12264.05,12827.7,12571.6,2114130,train
2024-07-10,12950.05,13300.0,12732.65,12772.8,12517.8,2070520,train
2024-07-11,12800.0,12923.8,12695.05,12715.2,12461.35,608983,train
2024-07-12,12620.0,12669.9,12475.0,12562.5,12311.7,674746,train
2024-07-15,12600.0,12768.5,12590.0,12643.95,12391.52,697186,train
2024-07-16,12643.0,12798.0,12581.75,12639.55,12387.21,347810,train
2024-07-18,12633.0,12680.0,12463.0,12644.05,12391.62,391216,train
2024-07-19,12650.0,12710.0,12496.45,12524.3,12274.26,351955,train
2024-07-22,12500.0,12658.95,12400.05,12641.25,12388.88,249631,train
2024-07-23,12720.0,12734.95,12360.0,12629.05,12376.92,332258,train
2024-07-24,12634.0,12663.2,12458.2,12487.25,12237.95,285860,train
2024-07-25,12388.05,12525.0,12388.05,12509.2,12259.46,396789,train
2024-07-26,12470.0,12743.1,12389.2,12663.7,12410.88,537693,train
2024-07-29,12709.0,12773.7,12603.0,12751.55,12496.97,388263,train
2024-07-30,12760.0,12968.8,12709.9,12873.65,12616.64,526539,train
2024-07-31,12980.0,13375.0,12895.15,13115.8,12853.95,836405,train
2024-08-01,13393.0,13680.0,13112.0,13359.05,13092.35,2040384,train
2024-08-02,13126.0,13174.9,12673.05,12726.4,12590.13,1333355,train
2024-08-05,12490.0,12490.0,12027.65,12200.85,12070.21,1131415,train
2024-08-06,12390.0,12554.9,12110.0,12131.1,12001.21,623565,train
2024-08-07,12399.0,12450.0,12265.9,12371.5,12239.03,433514,train
2024-08-08,12371.0,12392.7,12152.15,12218.85,12088.02,358577,train
2024-08-09,12390.0,12390.0,12195.1,12224.2,12093.31,320211,train
2024-08-12,12200.0,12370.0,12100.0,12273.25,12141.83,291212,train
2024-08-13,12337.0,12340.05,12122.0,12176.25,12045.87,464483,train
2024-08-14,12239.0,12239.0,12130.0,12205.65,12074.96,449827,train
2024-08-16,12314.95,12343.95,12111.0,12213.3,12082.53,552732,train
