Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,381.75,382.0,367.8,369.75,352.48,23389211,train
2024-07-02,372.6,372.6,365.15,370.4,353.1,13702830,train
2024-07-03,370.55,374.25,368.65,372.65,355.25,9207317,train
2024-07-04,373.9,380.85,371.75,372.95,355.54,14916930,train
2024-07-05,374.35,381.25,371.0,379.8,362.07,15946104,train
2024-07-08,380.85,381.25,376.15,377.45,359.83,8898299,train
2024-07-09,379.2,380.25,375.05,377.05,359.44,8355819,train
2024-07-10,378.8,383.8,370.0,381.4,363.59,17715196,train
2024-07-11,382.4,383.3,374.6,377.1,359.49,19873143,train
2024-07-12,378.95,379.4,372.0,377.15,359.54,16151583,train
2024-07-15,378.6,388.95,376.9,385.65,367.64,22951140,train
2024-07-16,386.65,388.75,380.0,380.45,362.69,11893034,train
2024-07-18,382.9,382.9,374.2,377.75,360.11,15709153,train
2024-07-19,377.75,378.0,362.9,364.65,347.62,13330099,train
2024-07-22,364.75,377.25,362.35,373.5,356.06,18715538,train
2024-07-23,376.7,385.65,361.55,382.45,364.59,49882257,train
2024-07-24,384.1,395.0,381.7,392.6,374.27,36868466,train
2024-07-25,390.95,396.3,386.25,392.15,373.84,25973101,train
2024-07-26,394.95,399.5,389.7,396.3,377.79,20381410,train
2024-07-29,404.0,408.3,392.65,393.9,375.51,27751449,train
2024-07-30,397.0,412.7,397.0,406.95,387.95,34447139,train
2024-07-31,409.5,417.4,408.55,416.0,396.58,29727771,train
2024-08-01,419.9,424.35,415.6,423.45,403.68,28803487,train
2024-08-02,416.25,426.3,413.35,419.7,400.1,24233263,train
2024-08-05,407.65,415.65,404.65,413.25,393.95,42489503,train
2024-08-06,413.25,424.95,413.25,415.0,395.62,18230579,train
2024-08-07,421.0,421.0,415.0,416.3,399.99,15556736,train
2024-08-08,416.35,417.0,405.8,407.7,391.73,16447385,train
2024-08-09,413.8,416.35,408.2,410.65,394.56,10954753,train
2024-08-12,410.0,410.0,400.1,400.85,385.15,26254763,train
2024-08-13,403.0,404.5,395.0,396.2,380.68,11355664,train
2024-08-14,398.9,400.0,393.65,396.35,380.82,9424614,train
2024-08-16,398.05,400.95,393.3,398.05,382.46,13844122,train
2024-08-19,402.3,407.5,401.45,403.1,387.31,10677045,train
2024-08-20,404.55,408.2,403.1,406.25,390.34,10126083,train
2024-08-21,407.5,409.7,405.2,408.95,392.93,9726854,train
2024-08-22,409.8,410.05,402.25,403.35,387.55,10445288,train
2024-08-23,403.35,405.9,399.55,401.95,386.21,11513586,train
2024-08-26,402.45,415.95,401.95,414.85,398.6,13772637,train
2024-08-27,415.5,416.2,409.1,409.65,393.6,8441188,train
2024-08-28,410.05,414.4,407.35,409.05,393.03,15884745,train
2024-08-29,409.05,412.6,403.75,409.9,393.84,19014705,train
2024-08-30,412.7,419.2,411.5,416.2,399.9,22633988,train
2024-09-02,417.8,419.1,407.7,410.0,393.94,11107165,train
2024-09-03,410.5,411.55,405.6,406.4,390.48,7538160,train
2024-09-04,400.0,408.25,399.9,405.1,389.23,11052003,train
2024-09-05,405.35,408.4,401.85,403.25,387.45,14246871,train
2024-09-06,403.25,404.65,392.7,394.8,379.34,17956121,train
2024-09-09,391.2,392.75,385.3,389.85,374.58,12293356,train
2024-09-10,390.1,399.4,389.75,396.3,380.78,15852309,train
2024-09-11,399.0,399.3,387.5,389.65,374.39,11492592,train
2024-09-12,391.0,406.25,390.65,404.85,388.99,24028069,train
2024-09-13,404.85,407.3,399.35,401.4,385.68,12017217,train
2024-09-16,402.45,412.0,402.0,411.1,395.0,11479712,train
2024-09-17,411.85,417.65,410.1,416.3,399.99,14432501,train
2024-09-18,418.5,419.75,413.0,414.15,397.93,10303840,train
2024-09-19,424.0,431.85,420.55,423.95,407.34,59601773,train
2024-09-20,428.05,429.85,416.55,423.95,407.34,36084164,train
2024-09-23,427.5,430.5,425.0,428.35,411.57,14139629,train
2024-09-24,431.45,431.45,427.0,428.1,411.33,12539885,train
2024-09-25,428.1,437.0,425.65,436.1,419.02,19443168,train
2024-09-26,437.95,437.95,430.55,434.6,417.58,20041825,train
2024-09-27,436.0,442.5,433.5,436.9,419.79,53885913,train
2024-09-30,436.9,448.45,433.6,443.2,425.84,20903229,train
2024-10-01,446.0,447.75,438.8,440.1,422.86,15984996,train
2024-10-03,432.0,442.5,432.0,435.35,418.3,13563784,train
2024-10-04,432.9,439.35,426.3,430.45,413.59,18347292,train
2024-10-07,430.6,433.0,409.05,415.45,399.18,23431004,train
2024-10-08,414.0,427.7,411.3,420.95,404.46,18706355,train
2024-10-09,424.45,424.75,417.0,418.45,402.06,13916492,train
2024-10-10,420.7,429.9,420.5,422.7,406.14,15866037,train
2024-10-11,423.95,426.65,419.6,422.5,405.95,8639087,train
2024-10-14,424.6,426.0,420.0,424.5,407.87,8483177,train
2024-10-15,426.65,427.2,423.55,426.6,409.89,9365964,train
2024-10-16,425.3,429.4,421.25,424.25,407.63,6219440,train
2024-10-17,423.65,425.6,416.6,417.75,401.39,11968387,train
2024-10-18,417.7,425.95,414.45,424.95,408.3,8828971,train
2024-10-21,426.05,428.75,419.1,425.0,408.35,9139781,train
2024-10-22,422.85,426.3,413.45,415.75,399.47,14242323,train
2024-10-23,414.0,414.75,401.7,408.3,392.31,22522821,train
2024-10-24,409.25,415.25,406.8,411.9,395.77,9400171,train
2024-10-25,402.5,407.5,391.6,398.9,383.28,19642277,train
2024-10-28,398.9,406.5,397.8,403.9,388.08,11716022,train
2024-10-29,409.0,414.3,404.45,412.15,396.01,20284308,train
2024-10-30,414.15,414.8,405.8,408.5,392.5,12264297,train
2024-10-31,409.0,410.65,403.5,408.15,394.58,12204072,train
2024-11-01,412.0,415.45,410.35,411.35,397.67,2145479,train
2024-11-04,413.85,414.3,393.7,400.95,387.62,13866505,train
2024-11-05,400.0,404.1,397.15,403.1,389.7,6665326,train
2024-11-06,406.7,410.8,403.15,408.9,395.3,9700643,train
2024-11-07,410.9,410.9,402.0,403.8,390.37,7589295,train
2024-11-08,403.15,404.2,395.55,397.65,384.43,7536509,train
2024-11-11,398.15,400.9,391.8,392.55,379.5,12243693,train
2024-11-12,393.15,394.8,379.05,380.3,367.65,10549517,train
2024-11-13,384.0,387.6,379.35,381.35,368.67,20602407,train
2024-11-14,380.05,385.2,371.35,372.5,360.11,15086601,train
2024-11-18,380.0,380.0,362.65,366.7,354.51,16383636,train
2024-11-19,368.0,378.5,365.05,366.7,354.51,17055094,train
2024-11-21,363.7,364.35,354.8,356.15,344.31,21276150,train
2024-11-22,357.05,367.1,355.7,365.45,353.3,15949254,train
2024-11-25,374.0,377.2,367.5,368.4,356.15,18388844,train
2024-11-26,370.0,370.4,360.25,361.65,349.62,11222231,train
2024-11-27,363.8,371.6,361.35,369.3,357.02,14225274,train
2024-11-28,369.7,371.85,359.6,362.05,350.01,16837860,train
2024-11-29,363.25,365.4,360.2,363.65,351.56,14280017,train
2024-12-02,363.65,363.9,357.0,358.2,346.29,12510350,train
2024-12-03,359.0,370.0,358.2,367.45,355.23,14205760,train
2024-12-04,368.95,375.15,368.0,372.75,360.35,22035954,train
2024-12-05,372.75,373.95,364.4,369.15,356.87,18758283,train
2024-12-06,369.45,371.2,368.05,369.5,357.21,9736086,train
2024-12-09,370.9,373.3,367.75,369.85,357.55,10878679,train
2024-12-10,369.0,371.2,366.4,369.15,356.87,7913822,train
2024-12-11,369.25,370.75,364.7,365.5,353.35,9998662,train
2024-12-12,366.0,367.0,353.0,355.6,343.78,22538216,train
2024-12-13,355.75,358.3,348.05,357.15,345.27,14269143,train
2024-12-16,357.15,358.9,351.7,352.9,341.16,12168143,train
2024-12-17,352.0,353.85,347.25,349.05,337.44,15646176,train
