Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,174.5,175.99,173.51,174.07,166.67,27807688,train
2024-07-02,174.47,175.75,173.6,174.54,167.12,33359495,train
2024-07-03,174.54,176.88,174.4,176.37,168.87,29090492,train
2024-07-04,177.0,178.19,175.82,176.29,168.79,29504744,train
2024-07-05,176.2,176.2,173.4,174.71,167.28,38123217,train
2024-07-08,174.6,175.47,172.09,172.28,164.95,31479861,train
2024-07-09,173.6,173.7,171.51,171.8,164.49,25127904,train
2024-07-10,172.5,172.89,167.02,167.98,160.84,41525591,train
2024-07-11,170.0,170.95,168.67,168.92,161.74,33987236,train
2024-07-12,170.2,170.39,168.01,168.69,161.51,33311402,train
2024-07-15,168.69,168.99,165.8,166.76,159.67,32635187,train
2024-07-16,167.8,169.82,166.7,167.07,159.96,26505901,train
2024-07-18,167.61,167.61,164.44,166.36,159.28,36568852,train
2024-07-19,166.0,166.09,157.2,157.77,151.06,77987514,train
2024-07-22,158.4,160.7,156.41,160.32,153.5,40353690,train
2024-07-23,161.6,161.97,155.0,160.02,153.21,37077411,train
2024-07-24,160.02,162.02,159.19,160.31,153.49,28086566,train
2024-07-25,158.5,158.5,156.9,157.39,150.7,45155876,train
2024-07-26,158.75,162.95,158.21,162.55,155.64,45642032,train
2024-07-29,164.7,164.7,162.33,162.87,155.94,31754833,train
2024-07-30,162.9,165.3,161.31,164.07,157.09,42824600,train
2024-07-31,166.29,166.5,163.55,165.33,158.3,52769925,train
2024-08-01,168.2,168.95,160.9,163.06,156.12,118341338,train
2024-08-02,161.0,161.19,154.72,158.22,151.49,72427529,train
2024-08-05,153.66,154.0,149.0,149.82,143.45,102883971,train
2024-08-06,151.21,153.8,149.61,150.32,143.93,53507102,train
2024-08-07,153.7,154.3,151.9,153.86,147.32,32029697,train
2024-08-08,153.4,153.44,150.0,150.28,143.89,51858615,train
2024-08-09,153.0,153.0,151.25,151.81,145.35,23290101,train
2024-08-12,151.0,153.4,149.88,152.06,145.59,30550334,train
2024-08-13,152.1,152.95,148.5,148.88,142.55,29396493,train
2024-08-14,149.9,149.9,142.35,146.17,139.95,97911180,train
2024-08-16,148.0,150.0,146.46,149.52,143.16,54131721,train
2024-08-19,150.85,154.3,150.39,153.96,147.41,62889770,train
2024-08-20,155.7,155.7,152.8,153.93,147.38,37559016,train
2024-08-21,153.0,154.18,151.77,151.92,145.46,49749381,train
2024-08-22,152.51,154.35,152.51,154.14,147.58,36719176,train
2024-08-23,154.0,154.39,152.55,154.2,147.64,31490857,train
2024-08-26,154.61,156.4,153.7,155.7,149.08,32497603,train
2024-08-27,155.8,156.5,154.6,154.7,148.12,24523684,train
2024-08-28,154.7,155.0,153.05,153.7,147.16,25195197,train
2024-08-29,153.21,153.56,151.2,152.97,146.46,44452983,train
2024-08-30,153.0,155.25,152.47,152.76,146.26,55134023,train
2024-09-02,153.9,153.9,152.14,152.88,146.38,19200143,train
2024-09-03,152.84,153.45,152.01,152.15,145.68,19780066,train
2024-09-04,149.5,152.18,149.16,151.18,144.75,39613696,train
2024-09-05,151.0,152.79,151.0,151.72,145.27,28347324,train
2024-09-06,151.94,152.9,149.65,151.22,144.79,30709532,train
2024-09-09,150.9,150.9,148.05,149.47,143.11,32624586,train
2024-09-10,150.5,151.59,148.81,149.42,143.06,41607844,train
2024-09-11,149.9,150.2,147.62,148.17,141.87,24633287,train
2024-09-12,152.0,152.44,148.75,151.74,145.29,73191476,train
2024-09-13,152.78,155.4,152.5,153.49,146.96,54894255,train
2024-09-16,155.0,155.66,153.5,154.21,147.65,32575460,train
2024-09-17,154.0,154.24,152.27,152.82,146.32,18275113,train
2024-09-18,152.4,152.98,149.61,150.6,144.19,24856345,train
2024-09-19,151.89,152.19,147.79,149.54,143.18,36913781,train
2024-09-20,151.0,153.34,150.65,152.02,145.55,53873369,train
2024-09-23,154.38,154.39,152.8,153.99,147.44,33281905,train
2024-09-24,155.15,161.5,154.85,160.53,153.7,137414352,train
2024-09-25,161.5,162.69,159.52,161.66,154.78,58044967,train
2024-09-26,162.0,165.9,160.48,165.61,158.57,88661662,train
2024-09-27,167.0,169.01,165.89,166.55,159.47,72795668,train
2024-09-30,167.5,170.18,167.26,168.55,161.38,92381529,train
2024-10-01,169.49,169.49,165.1,167.03,159.93,50761579,train
2024-10-03,165.5,169.99,164.52,166.98,159.88,75959797,train
2024-10-04,167.0,169.1,164.0,166.75,159.66,53880875,train
2024-10-07,167.1,167.95,162.33,164.36,157.37,48775098,train
2024-10-08,163.0,163.59,156.7,159.52,152.73,74956764,train
2024-10-09,159.52,162.2,158.11,159.06,152.29,42766218,train
2024-10-10,158.3,161.18,156.6,159.72,152.93,46507936,train
2024-10-11,159.3,163.78,159.2,160.66,153.83,53263433,train
2024-10-14,161.88,163.38,158.04,158.32,151.59,35566857,train
2024-10-15,159.5,159.53,155.05,155.63,149.01,38964393,train
2024-10-16,155.19,156.55,154.02,155.24,148.64,28518262,train
2024-10-17,155.65,156.3,152.1,152.4,145.92,28404223,train
2024-10-18,152.4,156.2,151.1,155.39,148.78,34750795,train
2024-10-21,156.1,157.93,154.59,155.03,148.44,25799090,train
2024-10-22,154.9,154.9,150.1,150.39,143.99,39079846,train
2024-10-23,150.3,151.95,148.05,148.78,142.45,42107893,train
2024-10-24,149.49,149.83,148.01,148.98,142.64,22115070,train
2024-10-25,149.0,149.5,144.43,145.86,139.66,39730802,train
2024-10-28,146.0,149.73,144.73,149.38,143.03,28386897,train
2024-10-29,149.85,150.45,146.55,150.06,143.68,32258407,train
2024-10-30,148.1,150.95,148.1,148.97,142.63,21362130,train
2024-10-31,149.08,149.95,148.2,148.56,142.24,26383702,train
2024-11-01,149.66,150.25,149.0,149.75,143.38,5106804,train
2024-11-04,150.0,150.0,145.1,146.95,140.7,25571021,train
2024-11-05,147.0,152.55,146.95,152.29,145.81,42772283,train
2024-11-06,154.0,154.95,149.59,153.62,147.09,48928986,train
2024-11-07,156.11,156.92,150.2,150.95,144.53,88254789,train
2024-11-08,152.0,152.0,146.94,147.57,141.29,61980989,train
2024-11-11,147.57,147.69,144.1,145.01,138.84,47497863,train
2024-11-12,145.65,147.13,143.6,144.17,138.04,28861672,train
2024-11-13,143.6,143.6,138.6,139.17,133.25,57609083,train
2024-11-14,139.71,140.73,137.5,137.98,132.11,36345184,train
2024-11-18,139.49,143.25,138.0,141.21,135.2,40233848,train
2024-11-19,142.0,142.49,139.06,139.46,133.53,37611903,train
2024-11-21,139.5,141.6,137.25,140.22,134.26,58398744,train
2024-11-22,140.15,143.19,139.65,142.78,136.71,43710169,train
2024-11-25,144.94,146.15,142.84,143.67,137.56,53883890,train
2024-11-26,144.22,145.8,143.58,144.47,138.33,25608469,train
2024-11-27,144.31,144.9,142.9,144.53,138.38,24895631,train
2024-11-28,144.0,145.25,143.09,143.39,137.29,30947861,train
2024-11-29,143.9,145.49,143.05,144.54,138.39,29742979,train
2024-12-02,144.11,146.83,143.14,146.41,140.18,23840351,train
2024-12-03,146.75,148.2,146.34,146.54,140.31,35527228,train
