Ticker,N,DirAcc%,MAPE%,MAE_price,Strat_Sharpe,BuyHold_Sharpe
DMART.NS,160,55.0,1.07,44.94,0.95,0.1
ASIANPAINT.NS,160,54.4,1.1,27.24,-0.08,0.85
HINDUNILVR.NS,160,51.9,0.96,22.53,-0.32,-0.75
LT.NS,160,50.0,1.2,45.77,-1.11,-0.08
SUNPHARMA.NS,160,50.0,0.91,15.48,0.76,0.74
RELIANCE.NS,160,49.4,0.96,13.57,0.81,0.55
COALINDIA.NS,160,49.4,0.98,4.03,1.44,2.59
ULTRACEMCO.NS,161,48.4,1.13,132.47,-0.99,-1.03
TCS.NS,160,48.1,1.04,28.89,0.07,-0.27
NTPC.NS,160,48.1,0.9,3.18,1.3,1.0
BAJFINANCE.NS,160,48.1,1.41,13.42,-0.33,-0.63
ADANIPORTS.NS,160,47.5,1.18,16.99,-0.1,1.15
TATASTEEL.NS,160,47.5,1.32,2.36,0.72,0.75
HDFCBANK.NS,160,46.9,0.92,8.0,-1.26,-1.88
APOLLOHOSP.NS,161,46.0,0.86,64.76,-1.86,-0.76
UPL.NS,160,45.6,1.31,8.87,-0.94,-0.06
INDIGO.NS,178,45.5,1.51,73.96,-1.69,-1.35
BHARTIARTL.NS,161,45.3,0.93,18.2,-0.22,0.49
MARUTI.NS,160,41.2,1.18,174.23,-1.12,0.56
TITAN.NS,160,38.8,1.0,39.6,-0.93,1.52
