Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,707.5,730.4,707.5,727.67,718.79,7727450,train
2024-07-02,727.5,727.59,712.2,716.56,707.81,12810270,train
2024-07-03,718.99,728.47,717.0,725.88,717.02,8363930,train
2024-07-04,730.1,732.5,710.0,710.71,702.03,18979770,train
2024-07-05,713.4,714.99,707.7,713.8,705.09,9310790,train
2024-07-08,714.49,714.77,704.7,709.83,701.16,6777050,train
2024-07-09,710.98,714.24,704.2,706.8,698.18,9735030,train
2024-07-10,706.8,712.93,702.1,705.49,696.88,8097140,train
2024-07-11,708.79,708.79,693.0,695.03,686.55,9718010,train
2024-07-12,699.7,704.5,691.51,700.43,691.88,10688330,train
2024-07-15,702.01,708.5,699.53,706.38,697.75,5333730,train
2024-07-16,708.0,709.0,700.52,705.91,697.29,5582000,train
2024-07-18,704.71,711.79,697.11,711.0,702.32,8646050,train
2024-07-19,711.0,711.0,691.0,693.23,684.77,9385980,train
2024-07-22,693.2,695.86,684.94,688.42,680.02,5751930,train
2024-07-23,693.4,694.48,662.0,672.71,664.5,19322120,train
2024-07-24,663.0,665.47,654.1,660.72,652.65,31006260,train
2024-07-25,656.0,666.6,655.15,664.78,656.66,9509650,train
2024-07-26,667.51,680.84,666.71,678.97,670.69,11101840,train
2024-07-29,682.39,685.5,676.58,681.24,672.93,7485650,train
2024-07-30,681.24,689.9,678.3,682.36,674.03,11794130,train
2024-07-31,682.7,685.5,679.3,680.7,672.39,8896590,train
2024-08-01,683.15,684.4,675.0,677.16,668.9,8395230,train
2024-08-02,672.5,675.0,667.31,672.5,664.29,6222180,train
2024-08-05,665.0,665.0,653.26,659.67,651.62,9440410,train
2024-08-06,662.6,669.7,651.15,653.84,645.86,8918280,train
2024-08-07,660.0,665.93,658.11,663.72,655.61,4642840,train
2024-08-08,662.51,667.8,657.14,658.22,650.19,6903890,train
2024-08-09,670.0,670.0,659.1,661.82,653.74,6994900,train
2024-08-12,661.91,664.5,656.41,660.82,652.75,6748870,train
2024-08-13,664.49,664.49,645.22,646.51,638.61,10723270,train
2024-08-14,648.25,648.99,643.09,645.85,637.97,7742760,train
2024-08-16,650.5,660.0,642.5,659.09,651.05,7534190,train
2024-08-19,663.8,665.6,659.36,661.64,653.56,5287300,train
2024-08-20,664.73,677.39,661.64,672.22,664.02,9571590,train
2024-08-21,672.2,674.73,669.5,673.53,665.31,6331110,train
2024-08-22,675.0,676.5,672.39,674.36,666.13,7282600,train
2024-08-23,675.5,676.2,670.49,673.59,665.36,6180450,train
2024-08-26,677.6,681.9,675.6,677.84,669.56,8983430,train
2024-08-27,677.84,687.34,673.0,686.36,677.98,20359020,train
2024-08-28,687.6,691.7,685.2,690.0,681.58,8489860,train
2024-08-29,688.91,715.8,688.16,706.35,697.73,26391590,train
2024-08-30,707.1,721.51,707.1,720.02,711.23,20443670,train
2024-09-02,727.4,745.0,722.9,744.01,734.92,22963780,train
2024-09-03,746.0,746.0,720.61,735.38,726.4,18986560,train
2024-09-04,725.49,737.7,724.53,729.95,721.04,8867460,train
2024-09-05,732.0,732.66,719.3,724.49,715.65,6734470,train
2024-09-06,725.55,739.5,725.55,731.72,722.78,18428270,train
2024-09-09,732.4,737.79,726.28,734.74,725.78,8789380,train
2024-09-10,736.99,736.99,719.3,724.18,715.35,13089320,train
2024-09-11,725.0,743.2,720.63,734.55,725.59,11048900,train
2024-09-12,742.0,744.0,729.66,742.83,733.76,14467640,train
2024-09-13,742.83,766.0,735.2,759.85,750.58,22084380,train
2024-09-16,768.0,768.0,732.2,734.58,725.61,26795550,train
2024-09-17,733.75,745.5,728.61,736.55,727.56,15677860,train
2024-09-18,738.72,767.25,737.85,763.11,753.8,29749930,train
2024-09-19,767.5,774.8,756.0,759.03,749.77,17206440,train
2024-09-20,763.5,765.5,748.72,758.24,748.99,16450040,train
2024-09-23,762.58,763.59,753.17,759.51,750.24,5734970,train
2024-09-24,759.7,760.34,748.39,755.42,746.2,10695400,train
2024-09-25,754.5,764.0,749.8,762.39,753.09,12720380,train
2024-09-26,764.0,777.94,758.76,776.84,767.36,16681650,train
2024-09-27,778.0,781.0,771.1,775.6,766.13,11781310,train
2024-09-30,774.6,782.4,767.61,770.3,760.9,9619520,train
2024-10-01,766.01,781.47,765.1,770.3,760.9,7882880,train
2024-10-03,761.0,770.0,738.1,743.39,734.31,10406620,train
2024-10-04,742.0,743.0,715.5,721.14,712.33,17681110,train
2024-10-07,721.14,732.4,719.03,726.94,718.07,9362270,train
2024-10-08,726.48,729.54,716.01,718.7,709.92,9038050,train
2024-10-09,721.6,742.68,720.61,730.04,721.13,10543750,train
2024-10-10,732.0,736.8,727.3,731.97,723.04,5594270,train
2024-10-11,732.5,733.0,722.6,730.2,721.29,3615870,train
2024-10-14,729.27,731.39,720.0,720.88,712.08,4451810,train
2024-10-15,724.49,725.61,697.9,701.69,693.13,14855670,train
2024-10-16,701.0,705.93,692.0,695.64,687.14,11256980,train
2024-10-17,698.09,699.88,687.1,689.95,681.53,6897550,train
2024-10-18,689.3,693.86,682.07,689.96,681.53,7449290,train
2024-10-21,690.91,695.08,671.72,678.09,669.81,22099660,train
2024-10-22,680.0,683.3,664.36,667.79,659.64,17006190,train
2024-10-23,660.58,709.89,660.1,699.58,691.04,26373910,train
2024-10-24,701.25,712.28,699.06,704.09,695.5,8951250,train
2024-10-25,704.09,705.99,689.33,691.02,682.58,10223240,train
2024-10-28,692.0,704.5,687.5,691.14,682.7,7149810,train
2024-10-29,690.91,706.0,680.22,702.25,693.68,14097500,train
2024-10-30,699.9,702.04,693.2,695.5,687.01,5660440,train
2024-10-31,694.9,697.08,687.97,688.97,680.57,7301530,train
2024-11-01,693.0,694.46,690.2,692.36,683.91,450110,train
2024-11-04,697.5,697.5,675.29,684.37,676.02,7162390,train
2024-11-05,684.5,701.49,671.2,693.03,684.58,12234300,train
2024-11-06,693.5,702.41,689.23,700.62,692.07,6962620,train
2024-11-07,700.62,703.9,687.0,690.45,682.02,4590470,train
2024-11-08,690.45,695.16,684.1,689.59,681.18,4248400,train
2024-11-11,686.0,690.42,675.22,677.88,669.61,7623160,train
2024-11-12,681.9,683.68,661.5,663.82,655.72,10572330,train
2024-11-13,663.5,670.22,652.66,656.6,648.59,8673470,train
2024-11-14,657.23,663.95,653.0,654.91,646.92,5277030,train
2024-11-18,663.3,665.7,655.5,656.79,648.78,5965350,train
2024-11-19,659.43,664.48,656.1,659.53,651.48,8040460,train
2024-11-21,661.4,661.4,645.1,646.57,638.67,11010800,train
2024-11-22,647.0,672.24,645.6,668.4,660.24,9698550,train
2024-11-25,678.99,686.3,666.73,668.54,660.38,11327510,train
2024-11-26,672.2,673.98,660.84,661.79,653.72,6632780,train
2024-11-27,665.0,673.33,661.22,670.52,662.34,6420100,train
2024-11-28,671.4,672.62,649.5,650.94,643.0,15768820,train
2024-11-29,651.9,660.9,651.03,657.59,649.56,7096430,train
2024-12-02,659.5,666.5,649.1,665.07,656.95,9202490,train
2024-12-03,669.61,672.24,663.08,667.54,659.4,13136660,train
2024-12-04,670.17,676.44,666.68,674.0,665.77,11304410,train
2024-12-05,676.0,688.99,668.54,685.04,676.68,13482430,train
2024-12-06,687.59,693.5,677.86,685.03,676.67,8332070,train
2024-12-09,685.01,692.5,682.79,686.84,678.45,8409100,train
2024-12-10,688.48,695.89,684.41,693.62,685.15,12045630,train
2024-12-11,695.99,716.5,689.31,711.51,702.83,19931040,train
2024-12-12,712.18,714.84,707.5,712.58,703.88,9667960,train
2024-12-13,709.9,721.72,698.06,718.28,709.51,12504360,train
2024-12-16,718.28,724.8,715.61,720.84,712.04,7960740,train
2024-12-17,720.0,725.74,711.0,715.28,706.55,10318560,train
2024-12-18,714.9,717.88,706.04,707.45,698.81,7275140,train
2024-12-19,695.0,702.45,688.78,691.85,683.41,9076750,train
2024-12-20,691.34,702.4,680.47,684.83,676.47,27000190,train
2024-12-23,689.7,697.69,685.59,686.67,678.29,5829280,train
2024-12-24,688.2,691.0,679.4,680.82,672.51,6014270,train
2024-12-26,683.04,685.8,680.01,681.58,673.26,3290960,train
2024-12-27,684.68,697.67,683.04,690.78,682.34,5554180,train
2024-12-30,690.0,699.5,686.5,688.83,680.42,4908760,train
2024-12-31,686.99,687.7,679.2,682.3,673.97,6153980,train
2025-01-01,682.3,694.79,680.6,693.53,685.07,4187210,train
2025-01-02,698.0,743.0,697.1,738.92,729.9,31716510,train
2025-01-03,738.97,750.0,735.92,740.72,731.68,15059280,train
2025-01-06,750.0,759.99,731.67,734.93,725.97,19059760,train
2025-01-07,735.49,744.69,730.15,735.4,726.42,10425380,train
2025-01-08,736.18,738.84,725.67,735.54,726.56,8444660,train
2025-01-09,733.84,735.54,723.6,727.74,718.86,6681410,train
2025-01-10,727.74,736.71,724.51,728.8,719.91,8089630,train
2025-01-13,724.0,725.51,713.4,715.09,706.37,6642740,train
2025-01-14,723.0,738.8,719.11,733.5,724.55,9980110,train
2025-01-15,734.05,735.0,710.52,717.74,708.98,6817500,train
2025-01-16,720.0,728.9,719.41,725.97,717.11,8608490,train
2025-01-17,722.1,728.49,715.63,718.21,709.44,6652740,train
2025-01-20,718.21,747.0,718.21,744.01,734.93,10679710,train
2025-01-21,745.0,748.5,727.76,729.16,720.27,10032060,train
2025-01-22,733.9,742.03,726.03,739.72,730.69,7273680,train
2025-01-23,734.1,752.4,732.5,744.33,735.24,10302950,train
2025-01-24,744.33,750.5,733.83,743.86,734.78,6796870,train
2025-01-27,738.01,747.45,726.0,729.54,720.64,6928100,train
2025-01-28,739.0,770.68,734.5,760.66,751.38,24789330,train
2025-01-29,765.72,778.7,756.9,775.97,766.49,15149200,train
2025-01-30,785.0,825.07,785.0,790.16,780.52,56488830,train
2025-01-31,792.5,798.07,779.1,788.51,778.89,18335460,train
2025-02-01,788.0,810.99,778.44,800.01,790.25,16153780,train
2025-02-03,792.22,843.93,792.1,842.58,832.3,43369260,train
2025-02-04,842.5,849.0,830.3,847.53,837.19,19663000,train
2025-02-05,850.0,858.87,844.55,850.95,840.56,18674930,train
2025-02-06,853.42,866.28,846.2,850.73,840.35,17094730,train
2025-02-07,858.5,858.5,838.39,847.42,837.08,9665400,train
2025-02-10,847.88,848.8,822.0,828.68,818.57,12438380,train
2025-02-11,829.9,835.51,813.93,819.12,809.12,9630590,train
2025-02-12,814.97,828.4,802.5,821.41,811.38,14837310,train
2025-02-13,819.71,849.8,819.71,840.9,830.64,18003130,train
2025-02-14,840.85,845.56,828.2,839.23,828.99,8633150,train
2025-02-17,822.03,848.8,822.03,842.66,832.38,8627990,train
2025-02-18,843.0,848.0,836.07,846.59,836.26,8689770,train
2025-02-19,845.91,852.9,840.0,843.95,833.64,8961980,train
2025-02-20,835.59,845.56,834.57,839.95,829.69,7900700,train
2025-02-21,836.0,842.03,828.8,839.67,829.42,6086470,train
2025-02-24,832.8,839.9,831.1,835.49,825.3,3552600,train
2025-02-25,835.49,852.66,833.8,848.88,838.52,10985410,train
2025-02-27,854.26,873.9,854.26,870.54,859.92,18382830,train
2025-02-28,866.5,867.0,851.01,853.03,842.62,17545800,train
2025-03-03,853.6,865.08,843.81,862.78,852.25,8749960,train
2025-03-04,852.22,861.93,851.36,858.59,848.12,7655060,train
2025-03-05,845.5,850.0,822.1,829.87,819.74,16300920,train
2025-03-06,836.5,845.98,827.55,841.09,830.82,8814220,train
2025-03-07,840.99,847.0,836.65,840.45,830.19,4729460,train
2025-03-10,843.78,863.79,832.6,834.26,824.08,10164530,train
2025-03-11,830.5,837.5,821.12,834.04,823.87,8135670,train
2025-03-12,834.11,852.45,827.26,848.45,838.09,20882230,train
2025-03-13,850.0,856.0,839.3,842.04,831.77,12173510,train
2025-03-17,839.92,862.99,838.6,858.03,847.56,11020850,train
2025-03-18,858.03,858.03,858.03,858.03,847.56,,train
2025-03-19,870.0,887.9,868.26,873.16,862.5,12898200,train
2025-03-20,872.5,876.8,854.11,867.97,857.37,7924330,train
2025-03-21,903.99,908.9,883.1,891.61,880.73,27448010,train
2025-03-24,909.59,911.5,892.7,909.01,897.91,14332170,train
2025-03-25,912.5,926.01,897.71,906.72,895.66,17482600,train
2025-03-26,910.21,912.69,884.99,886.6,875.78,8862110,train
2025-03-27,886.1,905.54,882.22,900.39,889.4,20920440,train
2025-03-28,899.76,902.89,886.1,894.56,883.64,9770990,train
2025-04-01,878.33,892.5,867.1,869.82,859.2,11834240,train
2025-04-02,873.0,875.98,861.2,866.92,856.34,6464950,train
2025-04-03,865.0,876.5,846.02,859.46,848.97,13966330,train
2025-04-04,865.6,879.7,858.38,871.89,861.24,18496580,train
2025-04-07,834.0,860.05,830.72,856.8,846.34,13981240,train
2025-04-08,865.0,887.3,865.0,882.22,871.46,14775630,train
2025-04-09,881.5,884.2,862.5,873.58,862.92,10487740,train
2025-04-11,882.51,897.35,881.07,892.11,881.22,10097220,train
2025-04-15,925.55,929.0,907.55,914.1,902.94,12633610,train
2025-04-16,914.95,917.15,896.4,905.65,894.6,7198220,train
2025-04-17,904.0,919.0,895.2,916.25,905.07,11415130,train
2025-04-21,917.0,931.5,914.15,927.35,916.03,7824150,train
2025-04-22,929.5,939.3,923.0,926.05,914.75,11293580,train
2025-04-23,928.2,934.85,915.0,932.3,920.92,10818710,train
2025-04-24,962.0,966.0,927.3,930.1,918.75,18496710,train
2025-04-25,931.05,934.45,899.0,911.2,900.08,10893540,train
2025-04-28,908.0,912.5,900.05,909.3,898.2,9946560,train
2025-04-29,913.0,914.6,896.0,909.3,898.2,11768180,train
2025-04-30,884.0,888.8,855.6,863.45,852.91,39690570,train
2025-05-02,857.55,891.5,856.6,886.85,876.03,18933030,train
2025-05-05,887.75,903.3,886.6,893.2,882.3,8930610,train
2025-05-06,891.1,897.4,875.0,879.75,869.01,12040870,train
2025-05-07,875.0,899.75,872.3,898.65,887.68,11635570,train
2025-05-08,897.7,907.45,877.5,883.25,872.47,12018090,train
2025-05-09,865.0,878.1,860.5,864.1,854.72,12151340,train
2025-05-12,884.9,903.0,882.55,901.85,892.05,10638220,train
2025-05-13,900.4,916.35,899.1,904.2,894.38,13363000,train
2025-05-14,904.5,911.05,901.2,908.1,898.24,7594000,train
2025-05-15,909.95,921.5,902.8,918.85,908.87,10385000,train
2025-05-16,918.85,928.6,913.35,916.7,906.74,6251920,train
2025-05-19,916.7,928.95,916.7,925.55,915.5,7162740,train
2025-05-20,929.8,931.0,906.9,907.9,898.04,8106160,train
2025-05-21,910.0,928.0,902.85,919.75,909.76,7321500,train
2025-05-22,919.75,919.9,907.05,913.9,903.97,6159740,train
2025-05-23,913.9,928.65,911.1,924.35,914.31,4251690,train
2025-05-26,925.5,933.65,925.0,926.95,916.88,5476790,train
2025-05-27,927.0,929.0,914.3,917.1,907.14,7150000,train
2025-05-28,924.5,929.45,914.1,926.75,916.68,6507400,train
2025-05-29,925.0,927.95,916.0,920.4,910.4,7081750,train
2025-05-30,917.0,920.35,912.1,918.05,912.44,15041740,train
2025-06-02,913.0,916.5,904.0,911.85,906.28,6619630,train
2025-06-03,910.6,912.8,897.0,897.9,892.41,9080270,train
2025-06-04,897.5,903.95,896.45,898.7,893.21,5544930,train
2025-06-05,898.7,898.7,886.95,893.4,887.94,7853320,train
2025-06-06,894.5,943.4,887.6,937.15,931.42,19783860,train
