Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,1450.0,1466.8,1449.25,1454.0,1433.95,6011806,train
2024-07-02,1462.0,1473.4,1417.0,1418.95,1399.39,7792632,train
2024-07-03,1427.95,1432.4,1408.45,1419.85,1400.28,8261388,train
2024-07-04,1418.0,1441.1,1411.5,1423.05,1403.43,9570938,train
2024-07-05,1422.5,1433.6,1416.85,1429.7,1409.99,4881198,train
2024-07-08,1431.0,1438.85,1423.15,1435.15,1415.36,3261797,train
2024-07-09,1436.0,1441.65,1428.15,1435.55,1415.76,2897480,train
2024-07-10,1441.0,1448.75,1426.15,1445.05,1425.13,3416762,train
2024-07-11,1450.0,1450.85,1428.0,1437.95,1418.13,4178558,train
2024-07-12,1442.0,1447.6,1421.45,1433.25,1413.49,6342135,train
2024-07-15,1433.25,1440.0,1426.05,1437.6,1417.78,3324806,train
2024-07-16,1452.0,1473.3,1445.0,1466.5,1446.28,6967651,train
2024-07-18,1466.0,1485.95,1459.05,1483.65,1463.2,6470342,train
2024-07-19,1480.0,1480.0,1451.95,1461.75,1441.6,3858596,train
2024-07-22,1450.0,1472.0,1449.05,1465.4,1445.2,3560584,train
2024-07-23,1470.0,1470.0,1428.45,1465.7,1445.49,2936143,train
2024-07-24,1466.0,1475.6,1436.55,1455.2,1435.14,4529339,train
2024-07-25,1445.0,1454.0,1440.1,1449.15,1429.17,4277756,train
2024-07-26,1450.25,1520.0,1449.15,1514.4,1493.52,9564987,train
2024-07-29,1525.0,1525.0,1477.05,1481.35,1460.93,4589313,train
2024-07-30,1484.4,1484.9,1464.05,1470.35,1450.08,4263689,train
2024-07-31,1477.85,1504.15,1473.15,1491.55,1470.99,5634305,train
2024-08-01,1485.0,1511.0,1485.0,1505.5,1484.74,4531379,train
2024-08-02,1494.1,1505.15,1483.6,1493.8,1473.21,3335905,train
2024-08-05,1482.0,1488.0,1451.5,1465.7,1445.49,5111901,train
2024-08-06,1483.1,1492.9,1431.1,1443.55,1423.65,8249573,train
2024-08-07,1452.0,1454.9,1422.6,1441.75,1429.8,5700734,train
2024-08-08,1435.0,1466.5,1430.0,1451.8,1439.76,5986360,train
2024-08-09,1465.0,1482.0,1457.3,1464.1,1451.96,3615910,train
2024-08-12,1466.0,1477.5,1445.0,1458.6,1446.51,4028226,train
2024-08-13,1468.0,1478.4,1450.35,1459.7,1447.6,4495208,train
