Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,473.35,476.3,471.25,474.8,417.45,8579861,train
2024-07-02,478.0,485.0,473.35,479.1,421.23,14629287,train
2024-07-03,481.9,487.65,479.4,484.95,426.38,7244652,train
2024-07-04,488.75,492.8,485.3,489.55,430.42,7796954,train
2024-07-05,489.5,493.3,486.9,491.5,432.13,5754517,train
2024-07-08,492.7,496.0,487.2,493.3,433.72,7477292,train
2024-07-09,496.95,496.95,491.1,493.8,434.16,6444684,train
2024-07-10,493.8,494.9,480.55,490.75,431.47,5981477,train
2024-07-11,492.0,506.0,488.55,500.05,439.65,20146927,train
2024-07-12,504.0,508.6,495.5,496.2,436.27,8198389,train
2024-07-15,500.0,503.6,492.55,497.75,437.63,7106020,train
2024-07-16,498.0,518.4,498.0,512.45,450.55,23169665,train
2024-07-18,515.35,515.8,501.25,505.25,444.22,12540956,train
2024-07-19,505.3,506.4,486.75,488.0,429.06,9971704,train
2024-07-22,488.0,496.0,483.55,491.2,431.87,7281653,train
2024-07-23,494.0,495.8,464.55,487.0,428.18,11311831,train
2024-07-24,486.7,499.4,485.1,493.8,434.16,6823248,train
2024-07-25,491.0,503.55,484.0,494.0,434.33,10281157,train
2024-07-26,498.25,511.7,498.25,509.85,448.27,20437968,train
2024-07-29,514.5,515.7,507.5,512.15,450.29,7259754,train
2024-07-30,512.15,525.6,509.95,519.35,456.62,13197520,train
2024-07-31,523.45,525.4,510.5,522.2,459.13,11972565,train
2024-08-01,535.0,542.25,528.0,540.4,475.13,34763894,train
2024-08-02,534.0,537.2,522.3,524.5,461.15,10985150,train
2024-08-05,515.0,515.0,497.55,506.8,445.59,11835031,train
2024-08-06,508.1,517.2,498.0,499.6,439.26,7142269,train
2024-08-07,507.7,532.8,507.7,531.5,467.3,18293730,train
2024-08-08,534.0,535.0,521.25,523.45,460.23,13624148,train
2024-08-09,530.0,531.35,521.85,529.8,465.81,6468264,train
2024-08-12,529.0,530.5,523.3,523.95,460.66,5238736,train
2024-08-13,525.0,529.9,520.0,521.75,458.73,5201294,train
2024-08-14,522.9,527.9,499.05,504.7,443.74,14766889,train
2024-08-16,507.7,515.75,502.5,512.3,454.93,7313429,train
2024-08-19,513.8,523.45,513.15,522.0,463.54,10737456,train
2024-08-20,524.35,528.45,521.05,524.6,465.85,8191127,train
2024-08-21,526.5,535.25,524.4,532.2,472.6,9067794,train
2024-08-22,534.0,535.45,526.8,528.85,469.63,8531700,train
2024-08-23,528.95,541.15,528.85,538.85,478.51,12566904,train
2024-08-26,542.0,543.55,534.7,538.1,477.84,7193307,train
2024-08-27,539.1,541.7,530.0,531.4,471.89,7865530,train
2024-08-28,533.9,535.55,525.45,526.35,467.41,6066259,train
2024-08-29,526.35,530.0,516.1,527.55,468.47,9147836,train
2024-08-30,530.0,537.0,522.0,524.95,466.16,30921282,train
2024-09-02,527.0,529.0,517.65,520.85,462.52,6370038,train
2024-09-03,521.0,523.6,518.25,519.6,461.41,5526155,train
2024-09-04,516.85,516.85,500.55,503.65,447.25,16783593,train
2024-09-05,507.5,507.5,495.15,497.0,441.34,10830621,train
2024-09-06,499.0,499.0,481.05,488.55,433.84,13110103,train
