Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,840.0,853.65,840.0,852.6,827.54,21187024,train
2024-07-02,857.5,867.45,851.38,865.3,839.87,45921690,train
2024-07-03,895.5,897.0,882.33,884.33,858.33,123217802,train
2024-07-04,879.88,879.88,862.42,863.58,838.19,45848658,train
2024-07-05,842.5,842.5,821.1,824.05,799.83,82242548,train
2024-07-08,822.65,827.47,813.58,817.67,793.64,39087800,train
2024-07-09,812.5,823.35,810.17,818.25,794.2,48550878,train
2024-07-10,814.97,820.0,810.38,813.05,789.15,45507182,train
2024-07-11,811.97,812.92,800.5,810.95,787.12,44177074,train
2024-07-12,811.0,819.2,805.58,811.35,787.5,56049960,train
2024-07-15,811.75,814.9,807.6,811.05,787.21,33375694,train
2024-07-16,810.38,813.5,808.4,809.88,786.07,28950324,train
2024-07-18,804.0,811.97,799.58,807.4,783.67,33717064,train
2024-07-19,808.0,811.5,801.75,803.65,780.03,26002152,train
2024-07-22,808.5,825.5,806.33,821.28,797.14,53744822,train
2024-07-23,823.78,823.9,802.5,809.2,785.42,52002152,train
2024-07-24,804.08,810.5,794.03,802.03,778.45,61728206,train
2024-07-25,796.5,812.5,796.5,808.3,784.54,25535732,train
2024-07-26,802.5,810.88,798.22,809.08,785.3,43810540,train
2024-07-29,807.5,815.92,799.15,802.53,778.94,51001148,train
2024-07-30,801.0,817.38,799.5,807.78,784.03,54595834,train
2024-07-31,807.0,813.95,804.6,807.88,784.13,37820484,train
2024-08-01,811.45,825.03,808.97,819.4,795.32,26215174,train
2024-08-02,815.5,835.25,815.5,829.58,805.19,44119238,train
2024-08-05,820.05,823.0,800.5,807.88,784.13,41333634,train
2024-08-06,815.0,816.47,796.65,800.6,777.07,45116050,train
2024-08-07,808.5,815.0,801.1,811.75,787.89,42346264,train
2024-08-08,812.0,826.65,809.62,821.35,797.21,33976950,train
2024-08-09,826.0,831.28,822.9,825.1,800.85,26644618,train
2024-08-12,826.0,837.97,823.67,830.05,805.65,39316196,train
2024-08-13,814.0,816.2,800.58,801.6,778.04,54055042,train
2024-08-14,803.25,806.85,801.6,803.9,780.27,32334428,train
2024-08-16,814.25,817.08,805.5,816.05,792.07,27849246,train
2024-08-19,818.83,818.83,811.85,815.78,791.8,19502164,train
2024-08-20,813.72,823.0,813.72,818.85,794.78,31134494,train
2024-08-21,814.05,817.28,808.9,812.9,789.01,47630904,train
2024-08-22,816.0,819.15,814.0,815.65,791.68,21300638,train
2024-08-23,817.0,817.0,811.5,812.53,788.64,20333422,train
2024-08-26,816.1,823.97,816.1,819.97,795.88,22364266,train
2024-08-27,821.7,823.7,816.1,818.88,794.81,35773244,train
2024-08-28,818.88,819.88,815.1,818.55,794.49,26921188,train
2024-08-29,821.0,822.2,815.58,819.28,795.2,49052604,train
2024-08-30,828.0,831.0,810.58,818.45,794.4,445342100,train
2024-09-02,823.4,823.4,811.6,813.47,789.57,34049680,train
2024-09-03,817.0,819.97,812.3,818.67,794.61,37282860,train
2024-09-04,819.5,822.4,816.0,820.9,796.77,24682744,train
2024-09-05,823.0,824.95,821.0,822.72,798.55,22876318,train
2024-09-06,819.15,823.88,817.05,818.47,794.42,26029602,train
2024-09-09,819.0,824.25,815.05,823.25,799.05,23792914,train
2024-09-10,827.0,827.0,819.0,825.17,800.92,26606646,train
2024-09-11,825.2,826.25,819.6,821.95,797.79,22226684,train
2024-09-12,827.0,835.0,823.53,833.3,808.81,32424046,train
2024-09-13,837.0,837.0,828.53,832.97,808.49,23860532,train
2024-09-16,833.5,838.9,832.03,835.47,810.92,15172820,train
2024-09-17,839.0,839.0,832.08,834.4,809.88,20127122,train
2024-09-18,835.92,849.45,835.55,847.4,822.49,40917342,train
2024-09-19,849.6,859.5,849.58,854.25,829.14,30651776,train
2024-09-20,858.25,872.47,853.78,870.6,845.01,60623386,train
2024-09-23,874.5,883.17,870.12,879.9,854.04,26965350,train
2024-09-24,882.5,890.83,877.12,884.03,858.04,33039036,train
2024-09-25,880.08,894.0,880.08,889.55,863.41,31965312,train
2024-09-26,886.53,894.0,884.03,891.72,865.52,31899644,train
2024-09-27,888.5,889.1,875.0,876.33,850.57,35613502,train
2024-09-30,874.4,875.72,862.2,866.03,840.57,26383534,train
2024-10-01,862.0,871.0,860.05,863.1,837.73,24572284,train
2024-10-03,857.83,863.08,836.67,841.0,816.28,48473398,train
2024-10-04,837.25,845.33,826.5,828.83,804.47,48683232,train
2024-10-07,826.1,829.5,806.5,808.9,785.13,94458296,train
2024-10-08,815.0,828.4,811.0,825.53,801.26,29734406,train
2024-10-09,824.75,828.38,814.35,816.58,792.58,41125642,train
2024-10-10,819.5,832.72,816.25,831.2,806.77,21754766,train
2024-10-11,832.22,832.22,821.62,825.5,801.24,23672594,train
2024-10-14,828.03,846.03,827.0,844.05,819.24,18527508,train
2024-10-15,847.0,849.0,837.75,842.05,817.3,19651130,train
2024-10-16,840.05,853.97,840.05,849.9,824.92,20470682,train
2024-10-17,847.47,848.83,832.6,836.58,811.99,14695732,train
2024-10-18,831.55,845.5,827.05,840.92,816.21,24809724,train
2024-10-21,857.5,874.08,855.53,864.35,838.95,46548354,train
2024-10-22,865.03,870.0,855.35,857.28,832.08,38875280,train
2024-10-23,852.53,873.25,852.53,867.9,842.39,38036090,train
2024-10-24,869.05,884.33,869.05,874.83,849.11,30832258,train
2024-10-25,877.5,878.92,864.35,871.7,846.08,26130478,train
2024-10-28,871.0,875.5,864.45,867.1,841.62,22012142,train
2024-10-29,863.08,882.0,862.55,875.92,850.18,35794926,train
2024-10-30,871.0,877.38,862.1,867.3,841.81,32715724,train
2024-10-31,864.0,869.45,859.7,867.85,842.34,22895912,train
2024-11-01,866.5,872.05,863.05,868.65,843.12,1759692,train
2024-11-04,872.5,872.5,855.45,857.05,831.86,28089248,train
2024-11-05,851.5,881.35,848.95,878.92,853.09,44232406,train
2024-11-06,885.75,885.75,872.67,877.62,851.83,27787910,train
2024-11-07,872.15,880.47,869.0,873.28,847.61,18895456,train
2024-11-08,876.0,880.9,872.92,877.22,851.44,19902986,train
2024-11-11,877.28,891.4,875.6,883.15,857.19,24565362,train
2024-11-12,886.0,887.5,854.33,859.1,833.85,31395406,train
2024-11-13,858.38,864.7,836.5,840.67,815.97,35728500,train
2024-11-14,836.55,852.42,836.05,846.38,821.5,27146470,train
2024-11-18,850.0,859.45,847.5,852.55,827.49,27081968,train
2024-11-19,857.0,876.88,851.35,871.12,845.52,50981272,train
2024-11-21,874.7,879.5,867.1,870.6,845.01,35716512,train
2024-11-22,871.78,877.15,864.78,872.8,847.15,24773612,train
2024-11-25,892.53,901.78,882.45,892.8,866.56,427737274,train
2024-11-26,905.0,905.0,884.9,892.78,866.54,30935566,train
2024-11-27,894.95,908.67,892.58,906.15,879.52,32714976,train
2024-11-28,909.5,918.05,894.0,896.58,870.22,35722392,train
2024-11-29,900.65,902.3,891.45,898.03,871.63,27669536,train
2024-12-02,901.75,904.08,887.5,902.35,875.83,15110876,train
2024-12-03,911.35,918.7,908.05,913.15,886.31,43410242,train
2024-12-04,919.0,932.5,915.58,930.05,902.72,44669084,train
2024-12-05,930.0,939.97,917.6,932.88,905.46,39682714,train
2024-12-06,928.5,932.1,922.0,927.92,900.65,17783156,train
2024-12-09,926.83,940.0,924.5,935.0,907.52,26947912,train
2024-12-10,938.85,938.85,929.28,934.05,906.6,13325480,train
2024-12-11,930.85,935.95,928.38,931.55,904.17,14045426,train
2024-12-12,925.5,934.33,924.35,929.62,902.3,17293790,train
2024-12-13,931.25,937.5,914.62,935.88,908.37,19009002,train
2024-12-16,932.55,934.97,927.62,932.6,905.19,13107082,train
2024-12-17,928.17,931.17,913.25,916.62,889.69,21079532,train
2024-12-18,914.92,918.0,903.58,905.35,878.74,23422312,train
2024-12-19,899.8,900.55,889.5,896.75,870.39,25380770,train
2024-12-20,891.1,898.78,883.53,885.75,859.72,25692348,train
2024-12-23,891.0,903.0,890.65,900.5,874.03,11044592,train
2024-12-24,901.03,904.35,894.78,899.05,872.63,14485834,train
2024-12-26,899.28,906.0,890.38,895.38,869.06,10481678,train
2024-12-27,897.4,902.97,894.55,899.12,872.7,7259330,train
