Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,3884.0,4001.7,3884.0,3978.2,3707.64,2658723,train
2024-07-02,3993.6,4023.4,3982.55,4017.4,3744.18,2307449,train
2024-07-03,4020.0,4026.1,3955.0,3965.25,3695.57,1821198,train
2024-07-04,3999.85,4047.35,3982.1,4020.95,3747.49,2518001,train
2024-07-05,4010.0,4026.75,3988.0,4011.8,3738.96,1668616,train
2024-07-08,4022.0,4031.25,3978.05,3993.2,3721.62,1758882,train
2024-07-09,3985.0,4006.95,3975.1,3985.5,3714.45,1305801,train
2024-07-10,3983.7,4003.3,3902.0,3909.15,3643.29,2669716,train
2024-07-11,3931.0,3980.0,3895.6,3923.7,3656.85,4872189,train
2024-07-12,3980.0,4199.95,3971.3,4183.95,3899.4,13509164,train
2024-07-15,4235.7,4240.0,4157.05,4169.2,3885.65,4848030,train
2024-07-16,4172.0,4194.55,4144.9,4178.45,3894.27,2029521,train
2024-07-18,4160.0,4325.0,4160.0,4315.55,4022.05,5613364,train
2024-07-19,4317.4,4358.75,4285.25,4302.4,4019.11,3903354,train
2024-07-22,4299.95,4319.95,4265.0,4287.35,4005.05,1896386,train
2024-07-23,4283.0,4361.7,4266.3,4302.35,4019.06,2365208,train
2024-07-24,4287.5,4339.1,4268.1,4306.25,4022.7,1809793,train
2024-07-25,4295.0,4343.0,4274.2,4322.5,4037.88,2810342,train
2024-07-26,4350.0,4422.45,4337.05,4387.85,4098.93,3552210,train
2024-07-29,4415.0,4431.0,4371.0,4381.1,4092.62,1746803,train
2024-07-30,4391.1,4398.0,4327.3,4365.35,4077.91,1797906,train
2024-07-31,4350.0,4414.0,4345.0,4385.35,4096.59,2330091,train
2024-08-01,4399.4,4419.3,4365.05,4397.1,4107.57,2202244,train
2024-08-02,4365.0,4398.0,4270.0,4283.05,4001.03,2811282,train
2024-08-05,4239.0,4239.0,4110.5,4155.05,3881.46,2787771,train
