Date,Open,High,Low,Close,AdjClose,Volume,Split
2024-07-01,570.05,574.7,567.3,573.45,567.27,1451065,train
2024-07-02,574.1,580.3,561.9,566.65,560.54,2781201,train
2024-07-03,567.5,576.0,567.2,572.15,565.98,1898741,train
2024-07-04,575.0,579.95,568.65,570.45,564.3,2148117,train
2024-07-05,570.8,573.9,567.7,572.7,566.53,1072378,train
2024-07-08,572.7,574.8,562.15,567.4,561.28,2695359,train
2024-07-09,568.0,572.3,563.0,563.95,557.87,1427039,train
2024-07-10,566.05,569.95,547.35,559.8,553.76,2033444,train
2024-07-11,560.85,566.4,555.1,557.7,551.69,3781459,train
2024-07-12,560.45,570.95,558.1,563.65,557.57,3741532,train
2024-07-15,566.0,567.5,560.8,565.05,558.96,1699472,train
2024-07-16,566.0,572.0,555.5,557.3,551.29,1674706,train
2024-07-18,557.3,561.0,554.95,558.65,552.63,1258371,train
2024-07-19,558.65,560.25,541.25,542.6,536.75,1483516,train
2024-07-22,540.0,558.2,532.85,545.45,539.57,2445572,train
2024-07-23,548.0,553.35,522.3,540.4,534.57,2813862,train
2024-07-24,536.3,543.45,535.0,537.05,531.26,1398404,train
2024-07-25,532.0,534.8,525.4,529.45,523.74,1833988,train
2024-07-26,529.15,545.0,529.1,544.15,538.28,1488053,train
2024-07-29,548.05,566.5,545.5,553.15,547.19,4404641,train
2024-07-30,553.6,568.8,552.5,564.9,558.81,2046419,train
2024-07-31,569.9,573.7,565.1,572.05,565.88,2390519,train
2024-08-01,575.0,577.0,557.1,560.45,554.41,1900787,train
2024-08-02,555.0,563.95,531.45,537.6,531.8,6452127,train
2024-08-05,520.0,551.5,520.0,528.3,522.6,8199938,train
2024-08-06,533.0,549.9,531.2,533.55,527.8,3839963,train
2024-08-07,539.0,549.0,535.55,546.7,540.81,2623663,train
2024-08-08,546.75,555.8,544.05,547.8,541.89,2763841,train
2024-08-09,558.5,562.0,550.65,554.6,548.62,2061454,train
2024-08-12,552.5,568.95,546.65,565.1,559.98,3191587,train
2024-08-13,566.0,566.1,550.8,552.05,547.04,1666599,train
2024-08-14,552.5,553.9,540.4,542.85,537.93,1066850,train
2024-08-16,542.85,554.4,539.6,553.35,548.33,1635134,train
2024-08-19,553.0,563.55,551.65,560.6,555.52,2412431,train
2024-08-20,560.6,567.0,560.1,566.15,561.02,1194020,train
2024-08-21,566.0,572.8,563.0,568.3,563.15,2235790,train
2024-08-22,570.0,587.9,568.25,579.15,573.9,6309020,train
2024-08-23,584.7,584.8,572.0,573.7,568.5,1995012,train
2024-08-26,578.9,578.9,572.1,577.45,572.21,1283196,train
2024-08-27,584.35,587.75,578.25,582.95,577.66,2705825,train
2024-08-28,585.0,585.9,575.55,578.05,572.81,1369570,train
2024-08-29,576.95,581.9,571.0,577.8,572.56,1530143,train
2024-08-30,584.0,604.0,582.0,598.35,592.92,7616878,train
2024-09-02,602.0,607.2,593.0,599.5,594.06,3640344,train
2024-09-03,600.0,605.95,596.0,602.2,596.74,2147598,train
2024-09-04,599.95,610.9,593.05,607.85,602.34,3139837,train
2024-09-05,612.0,622.95,606.8,618.7,613.09,3431993,train
2024-09-06,616.95,623.7,607.25,609.8,604.27,3569845,train
2024-09-09,606.0,610.8,601.1,604.4,598.92,2334227,train
2024-09-10,609.9,620.0,605.25,619.2,613.58,1638324,train
2024-09-11,618.8,619.1,609.0,611.0,605.46,1421907,train
2024-09-12,614.0,616.45,608.7,614.85,609.27,1707391,train
2024-09-13,616.0,616.95,610.25,611.4,605.86,1237013,train
2024-09-16,614.9,615.5,606.7,613.8,608.23,1186044,train
2024-09-17,615.0,615.8,609.3,610.65,605.11,1165443,train
2024-09-18,610.9,614.75,598.95,605.1,599.61,1728906,train
2024-09-19,605.1,612.75,582.55,594.8,589.41,2721915,train
2024-09-20,594.95,602.7,585.6,587.1,581.78,5717560,train
